,question,answer
174,What is My Account?,"Bot sentYou can register for My Account using one of three ways:

use a ‘Sign-In Partner’ (with your ID and password from select banks or credit unions)
create a CRA user ID and password. CRA will mail or email you the security code that you need to access your account information
use your provincial partner sign in (Alberta and British Columbia only)

For more information, see CRA Login services Help and FAQs.
The CRA has introduced multi-factor authentication to enhance the security of its online services, and ensure the safety and protection of taxpayer information. For more information on multi-factor authentication, see Multi-factor authentication to access CRA login services.
My Account users will need to have an email address on file with the CRA to help protect their online accounts from fraudulent activity. If you do not currently have an email address on file, you will be prompted to provide one when you sign in.
Please answer this short survey about your experience using Charlie the Chatbot.
"
175,How do you register for My Account?,"Bot sentBased on the information that I’ve interpreted, are any of these questions useful?
Where do I register for My Account?How do I register for My Business Account?"
176,What are email notifications from the CRA?,"Bot sentEmail notifications are sent when you have new CRA mail that you can see in My Account or My Business Account. We’ll also send notifications when important changes are made to your account (such as a change to your address, banking information, or authorized representative).
"
177,Do I have to receive email notifications?,"Bot sentEmail notifications are sent when you have new CRA mail that you can see in My Account or My Business Account. We’ll also send notifications when important changes are made to your account (such as a change to your address, banking information, or authorized representative).
"
178,How do you know if an email notification is from the CRA?,"Bot sentEmail notifications are sent when you have new CRA mail that you can see in My Account or My Business Account. We’ll also send notifications when important changes are made to your account (such as a change to your address, banking information, or authorized representative).
"
179,What digital services are available for tax time this year?,"Bot sentWe are closely monitoring the COVID-19 situation, and working with government partners to take the best possible measures to serve Canadians, and prevent disruptions to their tax and benefit affairs.
Measures for IndividualsMeasures for BusinessesWho to contactMore information on CRA and COVID-19"
180,"After filing your income tax and benefit return,How can you get your refund quickly?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
181,"After filing your income tax and benefit return,How can you check the status of your income tax and benefit return?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
182,"After filing your income tax and benefit return,How long do you need to save your supporting documents?","Bot sentYou can scan and send documents to us online if you’re registered for one of your secure online portals: My Account, My Business Account, or Represent a Client.
Once you have an account, you can log in and “submit documents” and follow the instructions.
Make sure your documents are saved in a format that the CRA can accept: (.pdf, .doc, .docx, .xls, .xlsx, .rtf, .txt, .jpg, .jpeg, .tiff, .tif, .xps).
"
183,"After filing your income tax and benefit return,What options do you have for paying an income tax debt? What if you cannot pay your balance owing?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
184,"After filing your income tax and benefit return,How can you pay the CRA?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
185,"After filing your income tax and benefit return,Should you file your income tax and benefit return on time if you owe money and cannot afford to pay it all right away?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
186,"After filing your income tax and benefit return,What are the penalties for filing your income tax and benefit return late and for not paying what you owe to the CRA on time?","Can you make the question simpler? I’m still learning.
Can you make the question simpler? I’m still learning.
Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
187,"After filing your income tax and benefit return,Can you ask for relief from penalties or interest you have been charged for filing or paying late?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
188,"After filing your income tax and benefit return,What should you do if you make a mistake on your income tax and benefit return?","Bot sentThe late-filing penalty is applied if you file your tax return after the due date and have a balance owing. The late-filing penalty is 5% of your current tax year balance owing, plus an additional 1% of your balance owing for each full month you file after the due date (up to a maximum of 12 months).
We start charging daily interest on the penalties, as well as any unpaid amounts, starting the day after your filing due date.
"
189,"After filing your income tax and benefit return,What if you want to formally dispute your notice of assessment, reassessment, or determination?","Bot sentHere’s the information I could find regarding Notice of Assessment or Notice of Reassessment :
Get your Notice of Assessment fastGet a copy of your Notice of AssessmentWhat is a Notice of AssessmentWhen to expect your Notice of Reassessment"
190,"After filing your income tax and benefit return,What do you do if you want to provide feedback on the CRA’s service?",
